tasks,type,matrix,time
6,openmp,matrices/A_n1e6_d4.mtx,1.58564
6,openmp,matrices/A_n2e6_d4.mtx,3.17212
6,openmp,matrices/A_n3e6_d4.mtx,4.81796
6,openmp,matrices/A_n5e6_d4.mtx,9.03186
6,openmpi,matrices/A_n1e6_d4.mtx,1.977
8,openmpi,matrices/A_n1e6_d4.mtx,1.46509
10,openmp,matrices/A_n1e6_d4.mtx,0.931764
10,openmpi,matrices/A_n1e6_d4.mtx,1.3831
10,openmpi,matrices/A_n2e6_d4.mtx,2.7825
10,openmpi,matrices/A_n3e6_d4.mtx,4.1587
10,openmpi,matrices/A_n5e6_d4.mtx,7.14079
10,openmp,matrices/A_n2e6_d4.mtx,1.73717
10,openmp,matrices/A_n3e6_d4.mtx,2.59704
10,openmp,matrices/A_n5e6_d4.mtx,4.72515
8,openmpi,matrices/A_n2e6_d4.mtx,2.94223
8,openmpi,matrices/A_n3e6_d4.mtx,4.35931
8,openmpi,matrices/A_n5e6_d4.mtx,7.43271
8,openmp,matrices/A_n1e6_d4.mtx,1.44717
8,openmp,matrices/A_n2e6_d4.mtx,2.64788
8,openmp,matrices/A_n3e6_d4.mtx,3.94545
8,openmp,matrices/A_n5e6_d4.mtx,6.6529
6,openmpi,matrices/A_n2e6_d4.mtx,3.78876
6,openmpi,matrices/A_n3e6_d4.mtx,5.84027
6,openmpi,matrices/A_n5e6_d4.mtx,9.97044
16,openmp,matrices/A_n1e6_d4.mtx,0.85745
16,openmp,matrices/A_n2e6_d4.mtx,1.65225
16,openmp,matrices/A_n3e6_d4.mtx,2.61352
20,openmp,matrices/A_n1e6_d4.mtx,0.446038
18,openmp,matrices/A_n1e6_d4.mtx,0.802138
20,openmp,matrices/A_n2e6_d4.mtx,0.899743
18,openmp,matrices/A_n2e6_d4.mtx,1.55502
20,openmp,matrices/A_n3e6_d4.mtx,1.45114
20,openmp,matrices/A_n5e6_d4.mtx,2.96306
18,openmp,matrices/A_n3e6_d4.mtx,2.46836
18,openmp,matrices/A_n5e6_d4.mtx,4.13275
18,openmpi,matrices/A_n1e6_d4.mtx,1.13403
18,openmpi,matrices/A_n2e6_d4.mtx,2.19917
16,openmpi,matrices/A_n1e6_d4.mtx,1.09564
18,openmpi,matrices/A_n5e6_d4.mtx,5.91652
16,openmpi,matrices/A_n2e6_d4.mtx,2.23935
16,openmpi,matrices/A_n3e6_d4.mtx,3.23747
16,openmpi,matrices/A_n5e6_d4.mtx,5.11386
16,openmp,matrices/A_n5e6_d4.mtx,4.73408
14,openmp,matrices/A_n1e6_d4.mtx,0.842768
14,openmp,matrices/A_n2e6_d4.mtx,1.93375
14,openmpi,matrices/A_n5e6_d4.mtx,5.31598
12,openmpi,matrices/A_n2e6_d4.mtx,2.35735
14,openmp,matrices/A_n3e6_d4.mtx,2.69953
14,openmp,matrices/A_n5e6_d4.mtx,4.72015
12,openmpi,matrices/A_n3e6_d4.mtx,3.40951
12,openmpi,matrices/A_n5e6_d4.mtx,5.48317
12,openmp,matrices/A_n1e6_d4.mtx,0.877674
12,openmp,matrices/A_n2e6_d4.mtx,1.76165
12,openmp,matrices/A_n3e6_d4.mtx,2.73009
12,openmp,matrices/A_n5e6_d4.mtx,4.6204
2,openmpi,matrices/A_n1e6_d4.mtx,4.91578
2,openmpi,matrices/A_n2e6_d4.mtx,9.9409
2,openmpi,matrices/A_n3e6_d4.mtx,14.8938
2,openmpi,matrices/A_n5e6_d4.mtx,25.0044
2,openmp,matrices/A_n1e6_d4.mtx,3.91173
1,openmp,matrices/A_n1e6_d4.mtx,7.83847
2,openmp,matrices/A_n2e6_d4.mtx,8.06868
1,openmp,matrices/A_n2e6_d4.mtx,16.0091
2,openmp,matrices/A_n3e6_d4.mtx,12.1346
1,openmp,matrices/A_n3e6_d4.mtx,24.1894
2,openmp,matrices/A_n5e6_d4.mtx,20.2762
1,openmpi,matrices/A_n1e6_d4.mtx,9.33263
1,openmp,matrices/A_n5e6_d4.mtx,40.6318
1,openmpi,matrices/A_n2e6_d4.mtx,18.6107
1,openmpi,matrices/A_n3e6_d4.mtx,27.9726
1,openmpi,matrices/A_n5e6_d4.mtx,47.3889
4,openmpi,matrices/A_n1e6_d4.mtx,2.7203
4,openmpi,matrices/A_n2e6_d4.mtx,5.47338
4,openmpi,matrices/A_n3e6_d4.mtx,8.14645
4,openmpi,matrices/A_n5e6_d4.mtx,13.8448
