tasks,type,matrix,time
1,serial40,matrices/A_n1e6_d4.mtx,24.1283
4,hybrid,matrices/A_n2e6_d4.mtx,2.5463
2,hybrid,matrices/A_n3e6_d4.mtx,8.32232
2,hybrid,matrices/A_n2e6_d4.mtx,3.68208
4,hybrid,matrices/A_n1e6_d4.mtx,0.903101
2,hybrid,matrices/A_n5e6_d4.mtx,9.50162
2,hybrid,matrices/A_n3e6_d4.mtx,6.3444
4,hybrid,matrices/A_n3e6_d4.mtx,3.65041
2,hybrid,matrices/A_n5e6_d4.mtx,9.54299
4,hybrid,matrices/A_n2e6_d4.mtx,1.60954
1,serial40,matrices/A_n2e6_d4.mtx,49.2399
4,hybrid,matrices/A_n1e6_d4.mtx,0.727774
4,hybrid,matrices/A_n5e6_d4.mtx,4.45914
2,hybrid,matrices/A_n5e6_d4.mtx,13.9169
4,hybrid,matrices/A_n3e6_d4.mtx,2.23008
4,hybrid,matrices/A_n2e6_d4.mtx,1.50891
4,hybrid,matrices/A_n5e6_d4.mtx,3.72744
4,hybrid,matrices/A_n3e6_d4.mtx,2.2718
4,hybrid,matrices/A_n5e6_d4.mtx,3.80621
1,serial40,matrices/A_n3e6_d4.mtx,75.5762
1,serial40,matrices/A_n5e6_d4.mtx,123.419
1,serial50,matrices/A_n1e6_d4.mtx,36.5155
1,serial50,matrices/A_n2e6_d4.mtx,75.2725
1,serial50,matrices/A_n3e6_d4.mtx,112.314
1,serial50,matrices/A_n5e6_d4.mtx,182.204
6,hybrid,matrices/A_n1e6_d4.mtx,0.735571
1,hybrid,matrices/A_n1e6_d4.mtx,3.99038
6,hybrid,matrices/A_n2e6_d4.mtx,1.02406
6,hybrid,matrices/A_n3e6_d4.mtx,1.91813
1,hybrid,matrices/A_n2e6_d4.mtx,8.17183
5,hybrid,matrices/A_n1e6_d4.mtx,0.624792
1,hybrid,matrices/A_n3e6_d4.mtx,12.1709
3,hybrid,matrices/A_n2e6_d4.mtx,2.04569
6,hybrid,matrices/A_n5e6_d4.mtx,2.64133
5,hybrid,matrices/A_n2e6_d4.mtx,1.16207
3,hybrid,matrices/A_n3e6_d4.mtx,2.96627
5,hybrid,matrices/A_n3e6_d4.mtx,3.02279
2,hybrid,matrices/A_n1e6_d4.mtx,1.82365
4,hybrid,matrices/A_n1e6_d4.mtx,1.19025
1,hybrid,matrices/A_n5e6_d4.mtx,20.7228
5,hybrid,matrices/A_n5e6_d4.mtx,3.00746
3,hybrid,matrices/A_n5e6_d4.mtx,5.63381
2,hybrid,matrices/A_n2e6_d4.mtx,3.62246
4,hybrid,matrices/A_n2e6_d4.mtx,2.28103
2,hybrid,matrices/A_n3e6_d4.mtx,8.5155
4,hybrid,matrices/A_n3e6_d4.mtx,2.15441
4,hybrid,matrices/A_n5e6_d4.mtx,3.93127
2,hybrid,matrices/A_n5e6_d4.mtx,15.957
1,serial60,matrices/A_n1e6_d4.mtx,52.7798
1,serial60,matrices/A_n2e6_d4.mtx,106.923
1,serial60,matrices/A_n3e6_d4.mtx,156.018
1,serial60,matrices/A_n5e6_d4.mtx,259.948
1,serial,matrices/A.mtx,0.000158706
1,serial,matrices/A.mtx,4.6593e-05
